Borough,Year,Week,Total accidents,Lethal accidents
BROOKLYN,2015,11,955,1
BROOKLYN,2015,12,882,1
BROOKLYN,2015,13,909,1
BROOKLYN,2015,14,850,0
BROOKLYN,2015,15,783,1
BROOKLYN,2015,16,949,1
BROOKLYN,2015,17,1007,2
BROOKLYN,2015,18,957,1
BROOKLYN,2015,19,1032,2
BROOKLYN,2015,20,1056,1
BROOKLYN,2015,21,983,2
BROOKLYN,2015,22,1056,3
BROOKLYN,2015,23,1027,2
BROOKLYN,2015,24,900,0
BROOKLYN,2015,25,1015,1
BROOKLYN,2015,26,1092,2
BROOKLYN,2015,27,917,3
BROOKLYN,2015,28,994,1
BROOKLYN,2015,29,987,1
BROOKLYN,2015,30,917,0
BROOKLYN,2015,31,1025,1
BROOKLYN,2015,32,1042,2
BROOKLYN,2015,33,1026,1
BROOKLYN,2015,34,990,2
BROOKLYN,2015,35,963,2
BROOKLYN,2015,36,1089,1
BROOKLYN,2015,37,1065,1
BROOKLYN,2015,38,1085,0
BROOKLYN,2015,39,935,0
BROOKLYN,2015,40,951,1
BROOKLYN,2015,41,1020,0
BROOKLYN,2015,42,1047,2
BROOKLYN,2015,43,1088,2
BROOKLYN,2015,44,996,1
BROOKLYN,2015,45,985,1
BROOKLYN,2015,46,985,2
BROOKLYN,2015,47,1080,3
BROOKLYN,2015,48,954,2
BROOKLYN,2015,49,1014,4
BROOKLYN,2015,50,946,1
BROOKLYN,2015,51,1157,2
BROOKLYN,2015,52,936,2
BROOKLYN,2015,53,787,0
BROOKLYN,2016,1,1051,1
BROOKLYN,2016,2,971,0
BROOKLYN,2016,3,1005,1
BROOKLYN,2016,4,1101,1
BROOKLYN,2016,5,1041,3
BROOKLYN,2016,6,870,0
BROOKLYN,2016,7,835,0
BROOKLYN,2016,8,876,1
BROOKLYN,2016,9,971,0
BROOKLYN,2016,10,1001,0
BROOKLYN,2016,11,958,0
BROOKLYN,2016,12,951,0
BROOKLYN,2016,13,1084,0
BROOKLYN,2016,14,1042,1
BROOKLYN,2016,15,1128,2
BROOKLYN,2016,16,1097,1
BROOKLYN,2016,17,849,1
BROOKLYN,2016,18,1085,1
BROOKLYN,2016,19,1003,1
BROOKLYN,2016,20,949,0
BROOKLYN,2016,21,972,1
BROOKLYN,2016,22,894,0
BROOKLYN,2016,23,851,1
BROOKLYN,2016,24,814,2
BROOKLYN,2016,25,966,0
BROOKLYN,2016,26,914,0
BROOKLYN,2016,27,823,0
BROOKLYN,2016,28,867,0
BROOKLYN,2016,29,932,0
BROOKLYN,2016,30,898,0
BROOKLYN,2016,31,823,1
BROOKLYN,2016,32,803,0
BROOKLYN,2016,33,834,1
BROOKLYN,2016,34,875,0
BROOKLYN,2016,35,845,0
BROOKLYN,2016,36,818,1
BROOKLYN,2016,37,899,1
BROOKLYN,2016,38,845,0
BROOKLYN,2016,39,871,0
BROOKLYN,2016,40,833,0
BROOKLYN,2016,41,856,0
BROOKLYN,2016,42,813,0
BROOKLYN,2016,43,877,0
BROOKLYN,2016,44,909,0
BROOKLYN,2016,45,814,1
BROOKLYN,2016,46,949,1
BROOKLYN,2016,47,772,0
BROOKLYN,2016,48,914,2
BROOKLYN,2016,49,818,1
BROOKLYN,2016,50,905,0
BROOKLYN,2016,51,839,2
BROOKLYN,2016,52,710,3
BROOKLYN,2017,1,813,1
BROOKLYN,2017,2,791,2
BROOKLYN,2017,3,767,2
BROOKLYN,2017,4,739,0
BROOKLYN,2017,5,781,0
BROOKLYN,2017,6,734,0
MANHATTAN,2012,26,119,0
MANHATTAN,2012,27,750,0
MANHATTAN,2012,28,814,1
MANHATTAN,2012,29,842,0
MANHATTAN,2012,30,883,0
MANHATTAN,2012,31,850,2
MANHATTAN,2012,32,835,2
MANHATTAN,2012,33,816,0
MANHATTAN,2012,34,755,1
MANHATTAN,2012,35,756,0
MANHATTAN,2012,36,812,0
MANHATTAN,2012,37,843,2
MANHATTAN,2012,38,866,3
MANHATTAN,2012,39,812,2
MANHATTAN,2012,40,822,0
MANHATTAN,2012,41,815,1
MANHATTAN,2012,42,863,0
MANHATTAN,2012,43,741,1
MANHATTAN,2012,44,501,1
MANHATTAN,2012,45,731,1
MANHATTAN,2012,46,828,0
MANHATTAN,2012,47,676,1
MANHATTAN,2012,48,798,0
MANHATTAN,2012,49,853,0
MANHATTAN,2012,50,822,1
MANHATTAN,2012,51,827,1
MANHATTAN,2012,52,603,1
MANHATTAN,2013,1,572,1
MANHATTAN,2013,2,668,0
MANHATTAN,2013,3,735,2
MANHATTAN,2013,4,703,0
